document_id,publication_year,hdbscan_label
607,2020,-1
608,2020,-1
609,2020,2
610,2020,-1
611,2020,-1
612,2020,-1
614,2020,4
615,2020,-1
616,2020,5
617,2020,-1
618,2020,-1
619,2020,-1
620,2020,-1
621,2020,-1
622,2020,-1
623,2020,-1
624,2020,-1
625,2020,4
626,2020,-1
627,2020,2
628,2020,0
630,2020,4
631,2020,-1
632,2020,-1
633,2020,-1
635,2020,-1
636,2020,-1
637,2020,2
638,2020,5
639,2020,-1
640,2020,-1
641,2020,2
642,2020,5
643,2020,-1
644,2020,-1
645,2020,-1
646,2020,-1
647,2020,-1
648,2020,5
649,2020,5
650,2020,5
651,2020,-1
652,2020,-1
653,2020,2
654,2020,-1
655,2020,-1
656,2020,-1
657,2020,-1
658,2020,2
659,2020,5
660,2020,2
661,2020,0
662,2020,4
663,2020,4
664,2020,4
665,2020,4
666,2020,-1
667,2020,-1
668,2020,4
669,2020,4
670,2020,4
671,2020,4
674,2020,-1
675,2020,-1
676,2020,-1
677,2020,-1
678,2020,-1
679,2020,-1
680,2020,-1
681,2020,-1
682,2020,-1
683,2020,-1
684,2020,-1
685,2020,-1
686,2020,-1
687,2020,-1
688,2020,-1
689,2020,3
690,2020,-1
691,2020,-1
692,2020,-1
693,2020,-1
694,2020,-1
695,2020,4
696,2020,-1
702,2020,-1
703,2020,3
704,2020,-1
705,2020,3
706,2020,3
707,2020,3
708,2020,3
709,2020,-1
710,2020,-1
711,2020,-1
712,2020,-1
713,2020,-1
714,2020,-1
715,2020,-1
716,2020,-1
717,2020,-1
718,2020,-1
719,2020,4
720,2020,-1
721,2020,-1
722,2020,-1
723,2020,-1
724,2020,-1
726,2020,-1
728,2020,-1
729,2020,-1
731,2020,-1
733,2020,3
736,2020,-1
737,2020,4
738,2020,4
2801,2020,1
2802,2020,1
2803,2020,1
2804,2020,-1
2805,2020,-1
2806,2020,1
2807,2020,1
2808,2020,-1
2809,2020,1
2810,2020,1
2811,2020,1
2812,2020,1
2813,2020,-1
2814,2020,1
2815,2020,1
2816,2020,1
2817,2020,1
2818,2020,-1
2819,2020,-1
2820,2020,-1
2821,2020,-1
2822,2020,1
2823,2020,-1
2824,2020,1
2825,2020,1
2826,2020,1
2827,2020,1
2828,2020,-1
2829,2020,1
2830,2020,1
2831,2020,1
2832,2020,1
43,2021,0
53,2021,0
57,2021,0
61,2021,0
64,2021,0
66,2021,0
67,2021,0
68,2021,0
69,2021,0
72,2021,0
73,2021,0
74,2021,0
75,2021,0
76,2021,0
77,2021,0
79,2021,0
80,2021,0
81,2021,0
83,2021,0
84,2021,0
93,2021,-1
94,2021,0
96,2021,0
98,2021,0
99,2021,0
100,2021,0
105,2021,0
106,2021,0
107,2021,0
108,2021,0
111,2021,0
112,2021,0
118,2021,0
119,2021,0
120,2021,0
122,2021,0
123,2021,0
124,2021,0
125,2021,0
126,2021,0
128,2021,0
129,2021,0
130,2021,0
141,2021,0
143,2021,-1
144,2021,-1
160,2021,0
163,2021,0
164,2021,0
165,2021,0
167,2021,0
168,2021,-1
176,2021,0
177,2021,0
178,2021,0
179,2021,0
180,2021,0
181,2021,0
182,2021,0
183,2021,0
184,2021,0
185,2021,-1
187,2021,-1
188,2021,0
189,2021,0
191,2021,0
192,2021,0
193,2021,0
194,2021,0
195,2021,0
196,2021,0
197,2021,0
198,2021,0
199,2021,0
200,2021,0
201,2021,0
202,2021,0
203,2021,0
204,2021,0
205,2021,0
206,2021,0
207,2021,0
210,2021,0
211,2021,0
213,2021,0
215,2021,0
216,2021,0
217,2021,0
221,2021,0
222,2021,0
223,2021,0
224,2021,0
225,2021,0
227,2021,0
230,2021,0
231,2021,0
232,2021,0
233,2021,0
234,2021,0
235,2021,0
236,2021,0
239,2021,0
242,2021,0
243,2021,0
244,2021,0
246,2021,0
247,2021,0
248,2021,0
249,2021,0
250,2021,-1
251,2021,0
252,2021,0
255,2021,0
259,2021,0
260,2021,0
263,2021,0
264,2021,0
265,2021,0
266,2021,0
267,2021,0
268,2021,0
269,2021,0
270,2021,0
271,2021,0
272,2021,0
273,2021,0
274,2021,0
275,2021,0
276,2021,0
277,2021,0
278,2021,0
279,2021,0
280,2021,0
281,2021,-1
282,2021,0
283,2021,0
284,2021,0
285,2021,0
287,2021,0
289,2021,0
300,2021,0
305,2021,0
306,2021,0
307,2021,0
309,2021,0
310,2021,0
311,2021,0
313,2021,0
314,2021,0
316,2021,0
317,2021,0
318,2021,0
320,2021,0
323,2021,0
324,2021,0
325,2021,0
326,2021,0
327,2021,0
329,2021,0
331,2021,0
334,2021,0
335,2021,0
336,2021,0
337,2021,0
338,2021,0
339,2021,0
340,2021,0
341,2021,0
342,2021,0
343,2021,0
344,2021,0
345,2021,0
346,2021,0
347,2021,0
348,2021,0
349,2021,0
350,2021,0
372,2021,0
373,2021,0
375,2021,0
378,2021,0
385,2021,-1
387,2021,0
394,2021,0
395,2021,0
396,2021,0
397,2021,0
398,2021,0
399,2021,0
402,2021,0
403,2021,0
404,2021,0
409,2021,0
410,2021,0
419,2021,0
420,2021,0
421,2021,0
422,2021,0
423,2021,0
425,2021,0
426,2021,0
429,2021,0
439,2021,0
441,2021,0
442,2021,0
443,2021,0
449,2021,0
457,2021,0
461,2021,0
462,2021,0
463,2021,0
471,2021,0
478,2021,0
479,2021,-1
480,2021,0
481,2021,0
482,2021,0
483,2021,0
498,2021,0
499,2021,0
